source,start,end,label
"/Users/lakaayshavanewijk/Downloads/human_vs_nature_human_vs_nature;_and_so_on_(2022)_v1 (1080p).mp4",00:00:52.000,00:00:55.700,human-vs-nature
"/Users/lakaayshavanewijk/Downloads/reflections_on_dutch_capitalism_(2022)_v2 (720p).mp4",00:01:42.000,00:01:45.700,reflections
"/Users/lakaayshavanewijk/Downloads/final_film (1080p).mp4",00:00:38.000,00:00:41.700,final-film
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023 (1).mp4",00:00:22.000,00:00:25.700,feb17-alt
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023.mp4",00:01:05.000,00:01:08.700,feb17
"/Users/lakaayshavanewijk/Downloads/no love, no mountains; existing horizontally.mp4",00:00:03.000,00:00:05.400,no-love-no-mountains
"/Users/lakaayshavanewijk/Downloads/CARLA_ THE RISE OF A SELFLESS HERO short experimental Documentary portrait.mp4",00:00:46.000,00:00:49.700,carla
"/Users/lakaayshavanewijk/Downloads/7+1 (2160p).mp4",00:01:30.000,00:01:33.700,seven-plus-one
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL2_LAKAAYSHA.mp4",00:00:41.000,00:00:44.700,afl2
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL1_LAKAAYSHA copy.mp4",00:00:24.000,00:00:27.700,afl1
