source,start,end,label
"/Users/lakaayshavanewijk/Downloads/human_vs_nature_human_vs_nature;_and_so_on_(2022)_v1 (1080p).mp4",00:00:49.800,00:00:53.900,human-vs-nature
"/Users/lakaayshavanewijk/Downloads/no love, no mountains; existing horizontally.mp4",00:00:02.200,00:00:05.900,no-love-no-mountains
"/Users/lakaayshavanewijk/Downloads/reflections_on_dutch_capitalism_(2022)_v2 (720p).mp4",00:01:39.200,00:01:42.900,reflections
"/Users/lakaayshavanewijk/Downloads/CARLA_ THE RISE OF A SELFLESS HERO short experimental Documentary portrait.mp4",00:00:44.200,00:00:47.900,carla
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023 (1).mp4",00:00:20.000,00:00:23.300,feb17-alt
"/Users/lakaayshavanewijk/Downloads/17. Februar 2023.mp4",00:01:03.200,00:01:06.400,feb17
"/Users/lakaayshavanewijk/Downloads/final_film (1080p).mp4",00:00:36.200,00:00:39.300,final-film
"/Users/lakaayshavanewijk/Downloads/7+1 (2160p).mp4",00:01:28.200,00:01:31.100,seven-plus-one
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL2_LAKAAYSHA.mp4",00:00:39.200,00:00:41.900,afl2
"/Users/lakaayshavanewijk/Downloads/VERSIE2_AFL1_LAKAAYSHA copy.mp4",00:00:22.300,00:00:24.800,afl1
